d_loss_step,epoch,g_loss/adv_step,g_loss/rec_step,g_loss/total_step,lr-Adam,lr-Adam-1,step
,,,,,0.00016,0.0001,0
1.388756275177002,0,0.625116229057312,361033.9375,180517.59375,,,0
,,,,,0.00015999998519559389,9.999999111735633e-05,1
1.3889529705047607,0,0.8334408402442932,352570.78125,176286.21875,,,1
,,,,,0.0001599999407823814,9.999996446942884e-05,2
1.3995771408081055,0,0.654315710067749,340394.6875,170198.0,,,2
,,,,,0.00015999986676038005,9.999992005622802e-05,3
1.3821229934692383,0,0.6573067903518677,325909.96875,162955.640625,,,3
,,,,,0.00015999976312961906,9.999985787777144e-05,4
1.3802399635314941,0,0.7336441874504089,305680.625,152841.046875,,,4
,,,,,0.0001599996298901394,9.999977793408364e-05,5
1.3785231113433838,0,0.6850817799568176,287175.0,143588.1875,,,5
,,,,,0.00015999946704199356,9.999968022519613e-05,6
1.3745591640472412,0,0.6873512268066406,270077.09375,135039.234375,,,6
,,,,,0.00015999927458524592,9.999956475114756e-05,7
1.3694881200790405,0,0.7318760752677917,250583.421875,125292.4453125,,,7
,,,,,0.00015999905251997242,9.999943151198346e-05,8
1.364282488822937,0,0.6223201751708984,237503.65625,118752.453125,,,8
,,,,,0.00015999880084626076,9.999928050775646e-05,9
1.3625977039337158,0,1.053562879562378,218334.578125,109168.34375,,,9
,,,,,0.00015999851956421027,9.999911173852616e-05,10
1.4441063404083252,0,0.5532151460647583,205103.703125,102552.40625,,,10
,,,,,0.000159998208673932,9.999892520435921e-05,11
1.3822619915008545,0,0.6460263729095459,190197.59375,95099.4453125,,,11
,,,,,0.00015999786817554872,9.999872090532923e-05,12
1.3599252700805664,0,0.7403994798660278,180386.125,90193.8046875,,,12
,,,,,0.0001599974980691948,9.999849884151687e-05,13
1.3639371395111084,0,0.7310783267021179,166237.109375,83119.2890625,,,13
,,,,,0.00015999709835501637,9.999825901300981e-05,14
1.3568229675292969,0,0.6465389132499695,155161.984375,77581.640625,,,14
,,,,,0.00015999666903317123,9.999800141990273e-05,15
1.3579182624816895,0,0.7859638333320618,144454.90625,72228.2421875,,,15
,,,,,0.00015999621010382887,9.999772606229732e-05,16
1.3463706970214844,0,0.6296835541725159,136506.90625,68254.0859375,,,16
,,,,,0.0001599957215671705,9.99974329403023e-05,17
1.3419350385665894,0,0.9502970576286316,128061.7734375,64031.8359375,,,17
,,,,,0.00015999520342338893,9.999712205403336e-05,18
1.376819133758545,0,0.38458946347236633,122133.703125,61067.234375,,,18
,,,,,0.00015999465567268875,9.999679340361326e-05,19
1.5001559257507324,0,0.910191535949707,113351.421875,56676.62109375,,,19
,,,,,0.0001599940783152862,9.999644698917173e-05,20
1.3726329803466797,0,0.8433903455734253,109658.2578125,54829.97265625,,,20
,,,,,0.0001599934713514092,9.999608281084554e-05,21
